_id,Customer ID,First Name,Last Name,Email,Phone Number,Registration Date,Age,Gender,Location.Street,Location.City,Location.State,Location.Postal Code,Location.Country,Purchase Frequency,Average Order Value,Recency of Purchase,Average Items per Order,Loyalty Program Membership,Online Shopping,Open Rate of Emails,Click-Through Rate,Total Spending,Repeat Purchases,Social Media Engagement,Customer Feedback
64ea5e09fe4f979a95e9cea9,0bdf6c6f-ce8f-4551-ad64-a4888f961b84,Michelle,Stevens,gregory55@example.org,001-940-252-0518x9106,2022-02-11,29,Male,482 Thomas Junctions Apt. 246,South Barrybury,KS,33198,Sweden,1,194.6,239,4,false,true,0.47,0.83,927.49,10,0.47,2.55
64ea5e09fe4f979a95e9ceaa,49148481-ee2e-48a8-a3c4-a57d1bdd21c2,Mary,Smith,ilee@example.net,(392)407-7800x627,2021-07-09,42,Male,39916 Scott Loop Apt. 569,Benjaminmouth,RI,97479,Uganda,11,15.42,298,9,false,false,0.84,0.46,1502.22,2,0.35,0.38
64ea5e09fe4f979a95e9ceab,a1ded96a-dfc4-48c9-80d6-6dcb9af4e553,Melanie,Grimes,bradmunoz@example.net,001-526-786-1055x05416,2020-11-21,20,Female,215 Kelly Underpass Apt. 112,Ericaland,PA,57829,Kuwait,21,196.66,312,7,true,false,0.53,0.25,1740.79,10,0.81,4.86
64ea5e09fe4f979a95e9ceac,a485d0de-87ce-4128-a31e-3b67a725a205,Kelly,Thompson,gregorywalsh@example.net,749-562-5478,2021-10-18,67,Female,3448 Newman Ridges Suite 154,Williamburgh,SC,52009,Solomon Islands,34,125.72,110,5,true,true,0.71,0.29,535.67,7,0.55,3.03
64ea5e09fe4f979a95e9cead,76fc831d-c3a5-4519-bc4f-fd266a27fb31,Jennifer,Nichols,andrewsmith@example.org,001-405-797-8702x712,2022-07-20,59,Male,28497 Gonzalez Plaza Apt. 892,Carlburgh,RI,95153,Malawi,27,147.89,304,4,false,true,0.43,0.59,1641.75,8,0.21,0.28
64ea5e09fe4f979a95e9ceae,48567d07-b9bb-4a9a-95aa-0fd13f1f2b3b,Shane,Vaughn,jramirez@example.net,(409)291-9819,2023-05-24,76,Male,8323 Andrade Springs Suite 947,Lake Jill,AR,26266,South Georgia and the South Sandwich Islands,2,192.33,225,9,false,true,0.25,0.07,1260.22,1,0.07,0.74
64ea5e09fe4f979a95e9ceaf,698d7ff1-8f69-4504-84f1-c611e7717f74,Danielle,Hill,murphychristina@example.net,001-515-380-5568x821,2022-03-21,25,Female,072 Nash Roads,South Dustin,WV,76665,Bulgaria,44,142.53,313,3,false,true,0.37,0.9,1996.94,5,0.94,1.16
64ea5e09fe4f979a95e9ceb0,abb02023-3ee2-4e61-a2c8-367a1ca1b8b6,Michael,Smith,jamie78@example.com,4735955940,2023-01-26,19,Female,45067 Robin Mission,Ryanchester,WA,41857,Switzerland,19,17.37,2,10,false,false,0.18,0.89,349.76,8,0.16,0.88
64ea5e09fe4f979a95e9ceb1,f9478157-0e7e-43ac-a3a3-ef4aca2d148f,Bobby,Carter,melinda87@example.net,(520)741-3972,2020-11-17,69,Male,323 Clark Loaf,New Prestonshire,OR,34821,Christmas Island,36,84.12,31,5,true,false,0.31,0.08,1922.02,2,0.96,4.53
64ea5e09fe4f979a95e9ceb2,41c6f1b7-45b2-4bdd-8ebe-f28aa108e395,Christina,Fitzgerald,levyamanda@example.net,001-930-675-9985,2021-12-07,64,Female,8024 Barry Loaf Suite 492,Tracybury,NY,18775,Vietnam,9,196.18,348,3,false,false,0.85,0.84,297.72,10,0.25,4.3
64ea5e09fe4f979a95e9ceb3,15f8ab49-8d83-48d7-ad0d-e8fc78e32ba0,John,Gordon,phernandez@example.org,870.484.1278x307,2020-05-05,70,Other,78846 Gamble Burgs Apt. 285,West Troyville,AZ,14978,Uganda,13,64.07,81,3,false,false,0.69,0.32,1927.01,3,0.95,2.02
64ea5e09fe4f979a95e9ceb4,d4ff1d08-3faa-446a-bf77-a6e551449ac5,Elizabeth,Rice,sharon51@example.net,768.406.7365x5093,2020-12-22,59,Other,6913 Fisher Path Apt. 951,South Gary,PA,07028,Trinidad and Tobago,10,83.13,161,9,true,true,0.66,0.74,1157.54,2,0.94,4.22
64ea5e09fe4f979a95e9ceb5,dc8b67e2-28f4-4aa9-8ee6-3cdf9c3efc12,Madeline,Cummings,careykevin@example.com,206.212.1596,2021-03-09,38,Female,1057 Joseph Glens,Johntown,RI,24398,Mali,7,82.12,157,8,true,true,0.9,0.13,373.66,6,0.34,0.79
64ea5e09fe4f979a95e9ceb6,df5efdfb-3376-42b2-b83d-8d1d60be558c,Kyle,Sullivan,sharontorres@example.org,561.358.2965x730,2021-10-23,26,Male,7871 Perry Via Suite 836,Gregoryhaven,ID,25031,Sri Lanka,40,52.74,291,9,true,false,0.32,0.36,1570.03,8,0.9,2.76
64ea5e09fe4f979a95e9ceb7,d2d39687-7b06-4965-9f73-f201dd190511,Tammy,Russell,hannah18@example.com,+1-605-379-2065,2023-01-12,68,Female,51230 Kelly Bypass Apt. 296,Lake Rebeccaborough,GU,53044,Morocco,12,79.32,341,7,false,true,0.16,0.62,1935.42,4,0.44,1.37
64ea5e09fe4f979a95e9ceb8,2f7fcc92-7f73-49af-946b-5699fd0ffb2d,Dylan,Hayes,vhill@example.com,784-898-0037x571,2023-03-11,73,Other,3569 Cunningham Valley Suite 408,New Paul,VI,11077,Turkmenistan,10,76.94,353,6,true,false,0.66,0.28,1425.93,8,0.54,0.34
64ea5e09fe4f979a95e9ceb9,6e08b4f3-0350-4351-a1e7-399bfa7d338e,Linda,Martinez,greynolds@example.com,+1-572-566-2200,2020-06-29,27,Male,8140 Gregory Row,East Kimberly,NE,11804,Kyrgyz Republic,30,60.5,131,6,false,true,0.29,0.57,1821.75,9,0.12,0.22
64ea5e09fe4f979a95e9ceba,7eb6f9fa-701a-479d-b136-8fd6c2df325e,Tony,Herrera,karenmitchell@example.org,001-965-324-4738x2858,2020-12-03,64,Female,036 Tyler Ports,North Daniellestad,ND,96857,Philippines,25,179.98,100,8,true,false,0.51,0.01,1933.86,10,0.92,4.46
64ea5e09fe4f979a95e9cebb,2486b01d-c432-4302-9e95-39bbdff5ddec,Jessica,Barber,zcombs@example.org,7028405310,2021-10-06,32,Other,329 Wilson Square Apt. 546,New Garyside,AK,41880,Russian Federation,32,153.28,338,3,false,true,0.55,0.2,1398.54,1,0.18,0.37
64ea5e09fe4f979a95e9cebc,297dbee6-1c2a-4344-9fdc-cd38682eeff3,Susan,Fuentes,mikaylaward@example.net,539-677-5742x213,2023-01-03,31,Female,18703 King Trace,Murphytown,CA,07928,Faroe Islands,46,23.4,363,10,false,false,0.47,0.48,950.77,6,0.93,1.53
64ea5e09fe4f979a95e9cebd,65938f93-37b0-4326-8d17-8648cf29da7e,Eric,King,cody30@example.com,+1-720-743-8091x6353,2020-06-23,76,Other,772 Woods Drive Apt. 790,East Jessica,NE,39728,Iceland,33,155.99,358,10,true,false,0.29,0.31,336.65,10,0.59,3.76
64ea5e09fe4f979a95e9cebe,df2f8be4-b299-440e-a4ae-0a27f1a6291e,Monica,Dunn,williamstroy@example.net,707.678.8783,2022-04-21,24,Female,26507 Michael Ford Suite 371,New Lisafurt,CA,57267,Saudi Arabia,50,139.44,353,6,true,false,0.22,0.42,1846.69,4,0.54,3.05
64ea5e09fe4f979a95e9cebf,f7f224ec-f933-41f4-b78a-9770d7a7cf69,Jeff,Moore,shepardelijah@example.org,001-669-304-5356x889,2021-10-01,49,Female,5893 Jonathan Corners,North Olivia,WY,48453,South Africa,10,94.94,179,6,true,false,0.62,0.43,1326.24,4,0.63,1.89
64ea5e09fe4f979a95e9cec0,28235099-4ded-4dcf-a455-335426354081,Rick,Porter,peterjohnson@example.net,419-297-4571,2023-08-09,66,Other,852 Wells Squares,Lake Donald,SD,43579,Uganda,10,168.18,171,1,true,true,0.65,0.66,1106.12,1,0.78,4.9
64ea5e09fe4f979a95e9cec1,ee497dfe-eb93-4674-8811-159f228f5dd1,Michael,Ortiz,mackenziematthews@example.org,865.944.8578x03127,2020-08-08,19,Other,761 Angela Mount Apt. 518,Port Jennifer,DC,07204,Holy See (Vatican City State),35,165.46,50,5,true,true,0.9,0.56,256.48,4,0.25,0.34
64ea5e09fe4f979a95e9cec2,69a79e70-17dc-4242-9900-71a74f5bd126,Michael,Foster,carterjoanne@example.net,828-951-8392,2023-04-19,28,Other,83274 Rachel Circles Apt. 347,Port Daniel,DC,13654,Saint Helena,47,180.07,238,3,true,false,0.39,0.39,1972.84,3,0.77,2.85
64ea5e09fe4f979a95e9cec3,7c747c8a-7eee-47dc-9b3c-a47c6bc67863,Donald,Craig,william69@example.net,305-373-2783x9992,2021-04-05,71,Other,037 King Views Apt. 871,Andradeville,MD,43633,Oman,39,190.99,6,7,false,true,0.5,0.25,1913.82,5,0.51,3.67
64ea5e09fe4f979a95e9cec4,000f48bc-9846-4dda-98b4-6d32c85604d2,Whitney,Smith,brian50@example.com,+1-838-802-0180x155,2023-06-03,58,Other,042 Matthew Hill Suite 179,East Michellemouth,IL,62671,Argentina,37,38.71,139,6,true,false,0.09,0.61,847.09,5,0.16,3.13
64ea5e09fe4f979a95e9cec5,c9dbdc51-b7bb-462b-993f-51575af515f8,James,Michael,katherine44@example.org,760-807-7451x0840,2020-01-08,43,Female,562 Nunez Stravenue,Port Gregorybury,IN,41132,Myanmar,29,199.39,293,1,false,true,0.88,0.52,1923.68,8,0.6,1.43
64ea5e09fe4f979a95e9cec6,4752ac2d-fb63-432e-98ec-98a472e198a5,Justin,Johnson,leroy61@example.com,641-644-3251,2023-04-27,29,Male,16929 April Courts,New Benjaminville,WV,85766,Oman,18,66.93,209,7,true,false,0.93,0.49,1043.64,6,0.6,0.95
64ea5e09fe4f979a95e9cec7,dd19c685-f874-45da-b53f-dbc4a85103a5,Kyle,Powell,omoore@example.org,(463)865-4123x7729,2023-02-10,64,Female,68166 Thomas Parkways,Wheelerton,CA,31670,Luxembourg,29,164.47,293,7,true,false,0.65,0.57,1082.66,9,0.37,1.84
64ea5e09fe4f979a95e9cec8,affdeded-d78c-41e8-9d31-5b8ed8ba0c98,Ronald,Adams,james13@example.net,834.266.3030,2022-05-16,68,Female,42262 Taylor Villages Apt. 896,Lake William,PR,11014,British Virgin Islands,34,84.04,45,7,false,true,0.22,0.18,104.05,7,0.54,0.15
64ea5e09fe4f979a95e9cec9,fa86f59a-452d-4938-b111-54b25dd6269b,Gregory,Scott,dennis13@example.com,348.667.4849x364,2023-04-03,45,Other,54040 Robert Mountains Suite 691,New Robin,MT,14533,Togo,42,46.81,97,2,true,true,0.15,0.2,874.75,9,0.29,3.61
64ea5e09fe4f979a95e9ceca,0bc40006-0ed4-4faa-b81d-85974433f522,Michael,Carroll,noahortiz@example.com,(328)846-0337,2021-06-03,26,Other,16508 Flowers Spurs,Brianmouth,NV,73507,Haiti,15,113.33,115,3,true,false,0.05,0.81,1222.17,9,0.41,4.28
64ea5e09fe4f979a95e9cecb,c7f3abb4-7982-443e-a937-2b5ede3c7b20,Heather,Stanley,pbrown@example.org,630.856.1491x880,2020-08-27,55,Male,400 Gonzalez Harbor,West Brenda,AZ,43981,Turks and Caicos Islands,22,166.55,108,10,false,true,0.18,0.97,1126.02,2,0.16,0.9
64ea5e09fe4f979a95e9cecc,2e41d2a4-11f6-4458-8205-35ba2a0f2f46,Benjamin,Peterson,richardperez@example.org,001-922-627-1076,2021-01-04,46,Other,141 Davis Shore Apt. 368,North Jennifer,WY,34537,British Indian Ocean Territory (Chagos Archipelago),22,105.47,233,1,false,true,0.29,0.73,1907.74,6,0.37,2.89
64ea5e09fe4f979a95e9cecd,37bfe81e-b26c-4d98-a65c-8d6f37b5a95c,Cassandra,Rodriguez,vvalenzuela@example.org,+1-275-500-5527,2022-01-02,49,Female,5346 Russell Greens,North Sabrinatown,MT,07951,Jordan,12,178.79,351,1,false,true,0.54,0.66,1806.95,9,0.64,1.4
64ea5e09fe4f979a95e9cece,fd12bb16-b0e2-4128-bf1a-ff7cadb3d149,Daniel,Morgan,nashwendy@example.com,790.384.9374x35328,2020-01-08,73,Other,37881 Wanda Dale,New Paulland,WA,15499,El Salvador,43,159.15,219,10,true,true,0.59,0.36,1599.01,4,0.67,2.57
64ea5e09fe4f979a95e9cecf,9541af70-6c4e-424d-b47f-443ae5098c09,Jose,Conner,hillrobin@example.net,496-727-6206x4633,2020-05-27,71,Female,8450 Smith Glens,Brandonborough,NH,57246,Uruguay,20,62.42,23,4,true,false,0.91,0.76,554.96,4,0.2,0.22
64ea5e09fe4f979a95e9ced0,b169b253-4651-4980-aab1-4fd2a7e1dac8,Charles,Spencer,jessicajones@example.com,+1-288-432-6501x6569,2021-02-03,44,Male,301 Booth Vista Suite 996,Lonniechester,MO,65062,Cook Islands,6,63.98,58,4,true,false,0.89,0.49,1784.48,10,0.65,0.85
64ea5e09fe4f979a95e9ced1,3c60f422-c531-4bc7-8ad1-8440803a232e,James,Bryant,amiller@example.com,303-651-4826x649,2022-01-19,65,Male,944 Guerra Spurs,Garciachester,MH,43521,Kuwait,44,43.16,242,2,true,false,0.3,0.32,1411.87,5,0.85,1.41
64ea5e09fe4f979a95e9ced2,b3eaeb0a-7cbe-49d4-8b2d-0d84e89faa60,Bruce,Collier,kfriedman@example.org,346.545.7923x3313,2021-06-15,80,Female,01441 Marc Junctions,North Sarafurt,AZ,68683,Montenegro,22,56.21,93,8,true,true,0.01,0.41,1280.56,1,0.14,0.44
64ea5e09fe4f979a95e9ced3,0d2e3fc8-9339-4848-bc46-412d9a90d294,Mary,Cummings,dmunoz@example.com,(335)611-6063x843,2022-07-16,71,Male,1060 Coleman Bypass Suite 487,East Anamouth,AZ,82204,Malaysia,5,149.09,47,3,false,true,0.04,0.32,930.01,6,0.41,2.44
64ea5e09fe4f979a95e9ced4,2f3cbea3-3e05-474e-bf7f-abdd8e2b852c,Wendy,Gonzales,hbrown@example.org,+1-808-443-0121x82925,2022-04-28,46,Other,8654 Julia Orchard,North Deborah,VI,18457,Malawi,14,188.44,175,1,false,false,0.46,0.32,1662.85,2,0.44,2.15
64ea5e09fe4f979a95e9ced5,296eb520-0953-4df0-b4b2-11587241020a,Jill,Moore,kodom@example.com,337-571-5279,2023-08-22,22,Female,6353 Steven Way Suite 824,Wagnerberg,PW,30505,Papua New Guinea,3,173.91,139,10,false,true,0.91,0.03,641.03,3,0.31,1.37
64ea5e09fe4f979a95e9ced6,0778e83b-9c05-491c-be3e-6c8e63e8b527,Kara,Jacobs,lfoster@example.com,001-308-291-5167x4990,2022-06-04,45,Male,314 Peggy Oval Suite 302,New Roy,TN,09154,Sao Tome and Principe,34,166.14,198,9,false,true,0.63,0.5,1940.71,7,0.1,0.79
64ea5e09fe4f979a95e9ced7,08b2f695-7ddf-433a-bc1e-0ad402d177fc,Robert,Rich,marysingleton@example.com,001-583-235-7612,2022-02-10,55,Male,1546 Mejia Spurs Apt. 796,Samanthachester,MD,11075,Sri Lanka,3,21.72,127,9,false,false,0.29,0.42,1882.56,8,0.55,1.2
64ea5e09fe4f979a95e9ced8,af89c69c-09ca-46c3-a1d0-8a18388a81a7,Christopher,Whitney,ashleymorton@example.com,918.977.3373x7804,2023-05-19,33,Male,6339 Moore Common Apt. 995,West Shawn,MP,68472,Thailand,42,135.12,227,1,false,false,0.79,0.1,1607.77,2,0.31,0.3
64ea5e09fe4f979a95e9ced9,f473ad52-50e2-4125-804f-e7e47fbb2b36,Christine,James,enichols@example.org,001-233-201-8231x14805,2021-05-22,71,Other,810 Frederick Hill Apt. 305,Lydiafurt,MP,57581,Turks and Caicos Islands,44,87.93,112,2,true,true,0.01,0.06,549.04,1,0.28,4.14
64ea5e09fe4f979a95e9ceda,8da8fd6c-9b1a-4197-a222-e2c39a90cf77,Barbara,Carter,edwardmurphy@example.net,(553)991-3933,2020-10-12,39,Other,97198 Ritter Road,Sarahchester,PW,68463,Cocos (Keeling) Islands,43,198.98,73,8,false,false,0.98,0.46,1295.24,1,0.64,0.32
64ea5e09fe4f979a95e9cedb,fa878b57-64e0-4bf6-85e1-2f6c60ccf521,Tiffany,Evans,elizabethgarcia@example.org,+1-898-818-8509x10380,2021-05-02,33,Male,33320 Hogan Shores Suite 533,Crystalville,IA,74788,Kyrgyz Republic,50,36.35,69,8,true,false,0.22,0.26,136.95,4,0.66,1.59
64ea5e09fe4f979a95e9cedc,609d59c7-56dd-4528-9502-25d27cb73419,Kaitlin,Alvarado,cynthia20@example.net,6456466485,2022-07-28,19,Male,2848 Patterson Road Apt. 684,Vanessaville,VA,65308,Peru,19,62.72,242,7,false,false,0.93,0.5,710.38,9,0.92,0.44
64ea5e09fe4f979a95e9cedd,dec7e00a-1997-4057-8203-e7e4f4ac02e8,Jennifer,Gibson,ethomas@example.net,632.336.7574x7968,2020-02-01,54,Male,0919 Melanie Centers Apt. 214,West Henryside,IN,26395,El Salvador,50,20.13,75,7,false,true,0.26,0.6,356.95,7,0.48,2.11
64ea5e09fe4f979a95e9cede,1dd011c1-6661-4122-8cf2-dbf701ccc472,Jose,Cruz,gonzalespatrick@example.net,(774)778-1124,2020-06-08,36,Female,51926 Elizabeth Station,North Michaelview,MA,78524,Malaysia,31,97.22,119,2,true,false,0.84,0.23,364.73,1,0.83,2.76
64ea5e09fe4f979a95e9cedf,d1d7ba62-d6cb-4535-a7ac-a97bdb045d61,Paula,Alexander,pittsjoseph@example.com,+1-709-527-3662x9640,2022-11-18,41,Male,231 William Junction,Port Laura,HI,28821,Mauritius,39,39.33,152,10,true,false,0.85,0.04,1326.5,1,0.2,3.51
64ea5e09fe4f979a95e9cee0,87e82966-dd0d-4275-bd74-84a15c759b03,Elizabeth,Jones,vstanley@example.com,(263)342-4635,2020-03-04,46,Female,955 Wells Parkways,North Brandon,NH,19070,Kuwait,50,156.88,257,6,true,true,0.53,0.81,849.98,8,0.98,4.26
64ea5e09fe4f979a95e9cee1,2cff8a2f-086e-4981-afb5-3b7042ee8e38,Daniel,Lewis,knewman@example.org,426-309-0700x381,2021-04-02,58,Female,2502 Anderson Ports,New Joseburgh,NH,23732,Spain,24,42.79,69,6,true,false,0.63,0.81,1078.65,7,0.86,2.69
64ea5e09fe4f979a95e9cee2,81e820c0-9d03-4f0a-b65e-fb4d66085a85,Bobby,Carter,browndavid@example.net,8818847428,2021-08-24,70,Other,93184 Jacobs Row Apt. 782,South Jose,WA,26012,Faroe Islands,47,70.09,306,1,true,true,0.25,0.14,1717.26,3,0.72,0.89
64ea5e09fe4f979a95e9cee3,1e4cbb0b-030c-48eb-8ea9-c013224940b2,Stephen,Miller,brandon19@example.net,963.779.0909x43885,2023-03-23,69,Male,79061 Hernandez Passage,Ashleyview,AZ,69426,Hong Kong,32,150.66,133,7,false,false,0.75,0.94,1721.37,9,0.56,2.23
64ea5e09fe4f979a95e9cee4,57e873f7-d436-40bb-be4f-4de633ed17a7,Manuel,Monroe,camposgail@example.com,204.344.8073,2021-01-27,18,Other,488 Robert Run Suite 388,North Ashleytown,IN,82992,Fiji,49,122.15,316,6,true,true,0.57,0.41,629.21,3,0.48,1.75
64ea5e09fe4f979a95e9cee5,2248ed1e-aca6-4a55-8e4e-dc871ab1b085,Daniel,Vasquez,porr@example.com,436-523-7741x267,2022-07-07,39,Female,2406 Martinez Cape,Port Denisemouth,NH,76843,Slovenia,29,91.76,266,4,true,true,0.53,0.54,849.03,9,0.21,1.59
64ea5e09fe4f979a95e9cee6,b75886e9-0d05-4f93-a257-a158dea7128c,Oscar,Harris,bonillazachary@example.org,714-582-9507,2020-12-28,34,Female,7833 Frey Motorway Suite 820,New Maria,OK,32442,New Caledonia,10,197.29,155,3,true,true,0.8,1,727.24,5,0.16,0.76
64ea5e09fe4f979a95e9cee7,bccb79d9-6e60-4a0f-baf7-16dd1462bedb,Kevin,Collier,michael95@example.com,+1-874-513-4465,2022-10-20,66,Other,301 Megan Route,Jessicashire,OH,60555,Hong Kong,24,172.89,299,6,false,false,0.83,0.37,271.28,9,0.25,3.67
64ea5e09fe4f979a95e9cee8,0882d8f2-eab9-4384-8f61-e0f649a7526b,Jason,Green,jennifer80@example.net,(877)793-3597x468,2023-06-21,38,Other,1615 Carmen Village,East Jessicaview,PW,25796,Sudan,18,199.21,18,8,false,false,0.56,0.66,404.58,1,0.45,3.02
64ea5e09fe4f979a95e9cee9,e21d2989-89c3-4d90-89f4-d3d6f5a079b2,Stephanie,Mclaughlin,jonesmichael@example.com,+1-392-440-4627,2023-07-02,32,Male,42202 Morales Oval Apt. 569,Royview,AR,17452,Monaco,29,131.11,146,6,true,false,0.57,0.7,1470.27,7,0.89,3.77
64ea5e09fe4f979a95e9ceea,d135cb0d-ecb4-46dc-81cc-3f0032549e33,Jaclyn,Johnson,qmccarthy@example.org,(871)279-2574,2020-01-16,43,Other,6727 Norton Mountains,Sheltonland,IN,42270,Anguilla,29,92.65,315,6,true,false,0.77,0.5,1872.84,1,0.33,2.63
64ea5e09fe4f979a95e9ceeb,05e88294-b69d-490a-9d34-29f13c6b58d1,Derek,Wheeler,millerleah@example.com,(261)661-7606,2020-01-01,79,Female,96081 Roberto Lights,New Kevinberg,ND,99418,Zimbabwe,30,97.96,44,7,false,true,0.5,0.27,1573.12,8,0.26,5
64ea5e09fe4f979a95e9ceec,97cb645b-d739-4a78-9181-5ceeb11b6022,Robert,Walsh,ruth20@example.net,700-990-9670,2023-03-03,50,Other,2507 Hanson Flat,New Michaelshire,KS,30842,United States of America,18,150.04,282,10,true,true,0.94,0.53,1220.47,7,0.09,3.5
64ea5e09fe4f979a95e9ceed,76081754-694e-423a-8022-8040842d1c6d,Derek,Huerta,jeremiahgay@example.org,(794)939-1024x098,2021-02-10,46,Female,98941 Brown Forge,Evelynchester,KY,51068,Tajikistan,40,47.46,234,9,true,false,0.57,0.64,461.29,10,0.13,2.7
64ea5e09fe4f979a95e9ceee,10c32523-1ecb-41f0-bd5c-48b01ea3238b,Stephanie,Fuller,tony89@example.org,(259)633-6328,2023-02-13,77,Female,3432 Christopher Plaza Suite 500,Katherinemouth,WV,66205,Somalia,18,102.88,178,7,false,false,0.62,0.08,473.66,6,0.53,0.31
64ea5e09fe4f979a95e9ceef,863f0a49-72a6-4a8d-8e6d-bf18132b445d,Tiffany,Robertson,fzhang@example.com,964-888-4247x5592,2022-06-11,61,Other,685 Craig Mountain Suite 487,South Samanthachester,PR,53036,Switzerland,6,135.18,18,10,false,true,0.4,0.19,1632.4,5,0.69,0.16
64ea5e09fe4f979a95e9cef0,cb56304f-8d36-41eb-9566-4e5f7dd32ee1,Janet,Horn,brett36@example.net,(428)802-3458x43716,2022-07-28,67,Other,0531 Sandra Extension Apt. 399,West Alexanderland,VT,26047,Guinea,9,183.98,74,4,false,false,0.85,0.03,607.58,2,0.42,3.63
64ea5e09fe4f979a95e9cef1,f01df56a-1c59-4bde-aaa0-8e718de69fdc,Eric,Medina,marthatapia@example.com,907.400.0581x804,2020-10-07,64,Female,2427 Robles Rue,South Ryan,ID,96999,Bhutan,1,130.15,207,10,true,false,0.64,0.53,1645.97,5,0.38,0.76
64ea5e09fe4f979a95e9cef2,bd54f9a6-4db0-4f08-9ce4-cb1851366bad,Douglas,Johnson,ecampbell@example.net,+1-807-567-8929x4655,2023-04-04,79,Male,29076 Ryan Ridges Suite 401,Debraville,CA,33883,Costa Rica,9,10.54,247,5,true,true,0.51,0.93,387.28,9,0.92,1.3
64ea5e09fe4f979a95e9cef3,11a8f2b4-3853-4071-a852-4d8e86a03a3b,Sherry,Goodman,jonathan75@example.org,001-408-270-1340,2022-06-30,36,Female,88373 Matthew Forks Apt. 792,Brianland,MO,20234,South Georgia and the South Sandwich Islands,25,45.5,134,2,false,false,0.55,0.03,1794.63,6,0.75,3.95
64ea5e09fe4f979a95e9cef4,bcce7266-16d5-4a00-b13a-8f37938ab898,Thomas,Adams,michael91@example.net,001-684-633-9044x18587,2020-01-23,61,Other,605 George Road,Edwardstown,NM,30714,Mauritania,26,162.31,232,7,false,false,0.45,0.68,447.6,3,0.24,1.66
64ea5e09fe4f979a95e9cef5,c0eccfa8-474d-440b-8d16-40588f1b71b3,Colleen,Myers,rgomez@example.org,846.921.6931,2021-04-08,68,Other,0591 Stephen Ranch,New Jody,MT,89538,India,1,85.06,140,2,false,true,0.47,0.84,850.98,5,0.75,2.68
